"ID","value_eur","wage_eur","League","club_name","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club Logo","Value","Wage","Special","Preferred Foot","International Reputation","Weak Foot","Skill Moves","Work Rate","Body Type","Real Face","Joined","Loaned From","Contract Valid Until","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Dribbling","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Reactions","ShotPower","Stamina","Strength","LongShots","Aggression","Penalties","StandingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes","Position","Best Overall Rating","ReleaseClause"
215914,1e+08,230000,"English Premier League","Chelsea","N. Kanté",30,"https://cdn.sofifa.com/players/215/914/22_60.png","France","https://cdn.sofifa.com/flags/fr.png",90,90,"Chelsea","https://cdn.sofifa.com/teams/5/30.png","€100M","€230K",2179,"Right",4,3,2,"Medium/ High","Unique","Yes","Jul 16, 2016","nan","2023","168cm","70kg",68,65,54,82,"79",49,79,81,82,"75",93,71,"97",72,65,93,54,93,15,12,10,7,10,"CDM",90,"€185M"
231747,1.94e+08,230000,"French Ligue 1","Paris Saint-Germain","K. Mbappé",22,"https://cdn.sofifa.com/players/231/747/22_60.png","France","https://cdn.sofifa.com/flags/fr.png",91,95,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/30.png","€194M","€230K",2175,"Right",4,4,5,"High/ Low","Unique","Yes","Jul 1, 2018","nan","Free Agent","182cm","73kg",78,93,72,85,"93",69,71,91,97,"97",93,86,"88",77,82,62,79,34,13,5,7,11,6,"ST",92,"€373.5M"
194765,5.3e+07,220000,"Spain Primera Division","Atlético de Madrid","A. Griezmann",30,"https://cdn.sofifa.com/players/194/765/22_60.png","France","https://cdn.sofifa.com/flags/fr.png",85,85,"Atlético de Madrid","https://cdn.sofifa.com/teams/240/30.png","€53M","€220K",2259,"Left",4,3,4,"Medium/ Medium","Unique","Yes","nan","<a href=""""/team/241/fc-barcelona/"""">FC Barcelona</a>",NA,"176cm","73kg",83,84,83,84,"85",85,82,89,80,"80",89,82,"86",63,83,73,79,54,14,8,14,13,14,"CAM",86,"0 M"
195864,79500000,220000,"English Premier League","Manchester United","P. Pogba",28,"https://cdn.sofifa.com/players/195/864/22_60.png","France","https://cdn.sofifa.com/flags/fr.png",87,87,"Manchester United","https://cdn.sofifa.com/teams/11/30.png","€79.5M","€220K",2222,"Right",4,4,5,"High/ Medium","Unique","Yes","Aug 9, 2016","nan","Free Agent","191cm","84kg",77,75,74,88,"88",82,92,90,63,"77",83,90,"77",89,84,78,81,67,5,6,2,4,3,"CM",87,"€147.1M"
200104,1.04e+08,220000,"English Premier League","Tottenham Hotspur","H. Son",28,"https://cdn.sofifa.com/players/200/104/22_60.png","Korea Republic","https://cdn.sofifa.com/flags/kr.png",89,89,"Tottenham Hotspur","https://cdn.sofifa.com/teams/18/30.png","€104M","€220K",2142,"Right",4,5,4,"High/ High","Unique","Yes","Aug 28, 2015","nan","2025","183cm","78kg",83,88,68,84,"87",74,74,84,85,"90",91,88,"88",64,89,62,73,34,11,13,13,6,10,"LM",89,"€197.6M"
202556,6.3e+07,220000,"Spain Primera Division","FC Barcelona","M. Depay",27,"https://cdn.sofifa.com/players/202/556/22_60.png","Netherlands","https://cdn.sofifa.com/flags/nl.png",85,86,"FC Barcelona","https://cdn.sofifa.com/teams/241/30.png","€63M","€220K",2081,"Right",3,3,5,"High/ Low","Unique","Yes","Jul 1, 2021","nan","2023","176cm","78kg",84,83,65,81,"86",83,76,85,81,"83",83,87,"79",83,83,72,76,31,8,14,6,12,10,"CF",85,"€133.9M"
204485,65500000,220000,"English Premier League","Manchester City","R. Mahrez",30,"https://cdn.sofifa.com/players/204/485/22_60.png","Algeria","https://cdn.sofifa.com/flags/dz.png",86,86,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€65.5M","€220K",2035,"Left",3,4,5,"Medium/ Medium","Unique","Yes","Jul 10, 2018","nan","2023","179cm","67kg",81,82,48,83,"91",78,75,91,84,"79",81,80,"75",57,80,48,70,31,15,9,13,11,6,"RW",86,"€121.2M"
204963,47500000,210000,"Spain Primera Division","Real Madrid CF","Carvajal",29,"https://cdn.sofifa.com/players/204/963/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",85,85,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€47.5M","€210K",2124,"Right",3,3,3,"High/ Medium","Unique","Yes","Jul 5, 2013","nan","2025","173cm","73kg",82,51,72,83,"78",47,74,83,79,"80",83,68,"89",74,47,84,45,82,13,13,15,9,15,"RB",85,"€97.4M"
228702,119500000,210000,"Spain Primera Division","FC Barcelona","F. de Jong",24,"https://cdn.sofifa.com/players/228/702/22_60.png","Netherlands","https://cdn.sofifa.com/flags/nl.png",87,92,"FC Barcelona","https://cdn.sofifa.com/teams/241/30.png","€119.5M","€210K",2229,"Right",3,3,4,"High/ Medium","Unique","Yes","Jul 1, 2019","nan","2026","180cm","74kg",78,72,72,91,"88",64,87,89,80,"82",88,68,"90",74,66,75,45,76,7,13,10,10,9,"CM",89,"€253.9M"
189332,4.7e+07,2e+05,"Spain Primera Division","FC Barcelona","Jordi Alba",32,"https://cdn.sofifa.com/players/189/332/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",86,86,"FC Barcelona","https://cdn.sofifa.com/teams/241/30.png","€47M","€200K",2215,"Left",3,3,3,"High/ Medium","Unique","Yes","Jul 1, 2012","nan","2024","170cm","68kg",85,73,70,85,"81",63,79,85,87,"86",80,64,"87",61,66,75,59,78,13,15,13,6,13,"LB",86,"€96.4M"
189511,4.5e+07,2e+05,"Spain Primera Division","FC Barcelona","Sergio Busquets",32,"https://cdn.sofifa.com/players/189/511/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",86,86,"FC Barcelona","https://cdn.sofifa.com/teams/241/30.png","€45M","€200K",2012,"Right",4,3,3,"Medium/ Medium","Lean (185+)","Yes","Sep 1, 2008","nan","2023","189cm","76kg",62,67,68,87,"81",68,85,86,40,"43",86,61,"78",72,54,81,60,82,5,8,13,9,13,"CDM",86,"€92.3M"
210257,9.4e+07,2e+05,"English Premier League","Manchester City","Ederson",27,"https://cdn.sofifa.com/players/210/257/22_60.png","Brazil","https://cdn.sofifa.com/flags/br.png",89,91,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€94M","€200K",1583,"Left",3,3,1,"Medium/ Medium","Unique","Yes","Jul 1, 2017","nan","2026","188cm","86kg",20,14,14,61,"23",20,66,40,64,"63",88,70,"41",78,18,38,51,15,87,82,93,88,88,"GK",89,"€181M"
218667,8e+07,2e+05,"English Premier League","Manchester City","Bernardo Silva",26,"https://cdn.sofifa.com/players/218/667/22_60.png","Portugal","https://cdn.sofifa.com/flags/pt.png",86,86,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€74M","€200K",2128,"Left",2,3,4,"High/ High","Lean (170-185)","Yes","Jul 1, 2017","nan","2025","173cm","64kg",85,77,51,86,"92",67,76,90,83,"77",84,76,"93",54,76,70,68,63,9,10,14,12,9,"CAM",86,"€136.9M"
197445,35500000,195000,"Spain Primera Division","Real Madrid CF","D. Alaba",29,"https://cdn.sofifa.com/players/197/445/22_60.png","Austria","https://cdn.sofifa.com/flags/at.png",84,84,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€35.5M","€195K",2247,"Left",4,4,3,"Medium/ Medium","Normal (170-185)","Yes","Jul 1, 2021","nan","2026","180cm","78kg",80,60,74,85,"77",85,80,84,78,"77",88,82,"75",76,78,74,79,83,5,7,14,15,9,"CB",84,"€72.8M"
177003,3.2e+07,190000,"Spain Primera Division","Real Madrid CF","L. Modrić",35,"https://cdn.sofifa.com/players/177/003/22_60.png","Croatia","https://cdn.sofifa.com/flags/hr.png",87,87,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€32M","€190K",2253,"Right",4,4,4,"Medium/ Medium","Lean (170-185)","Yes","Aug 1, 2012","nan","Free Agent","172cm","66kg",86,72,55,91,"85",78,89,90,76,"70",88,79,"83",58,82,62,82,75,13,9,7,14,9,"CM",87,"€65.6M"
179813,2.6e+07,190000,"English Premier League","Manchester United","E. Cavani",34,"https://cdn.sofifa.com/players/179/813/22_60.png","Uruguay","https://cdn.sofifa.com/flags/uy.png",85,85,"Manchester United","https://cdn.sofifa.com/teams/11/30.png","€26M","€190K",2093,"Right",4,4,3,"High/ High","Unique","Yes","Oct 5, 2020","nan","Free Agent","185cm","77kg",68,89,88,75,"74",74,52,81,64,"68",90,87,"81",77,77,81,85,48,12,5,13,13,10,"ST",85,"€48.1M"
212831,8.2e+07,190000,"English Premier League","Liverpool","Alisson",28,"https://cdn.sofifa.com/players/212/831/22_60.png","Brazil","https://cdn.sofifa.com/flags/br.png",89,90,"Liverpool","https://cdn.sofifa.com/teams/9/30.png","€82M","€190K",1393,"Right",3,3,1,"Medium/ Medium","Unique","Yes","Jul 19, 2018","nan","2027+","191cm","91kg",17,13,29,45,"27",18,44,30,56,"47",87,63,"32",78,14,27,23,19,86,86,84,90,89,"GK",89,"€157.9M"
220834,4.8e+07,190000,"Spain Primera Division","Real Madrid CF","Marco Asensio",25,"https://cdn.sofifa.com/players/220/834/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",83,86,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€48M","€190K",2032,"Left",3,3,4,"High/ Medium","Normal (170-185)","Yes","Jul 1, 2015","nan","2023","182cm","76kg",81,77,57,81,"84",76,80,86,83,"81",78,86,"76",63,83,45,62,42,13,9,6,12,10,"CAM",85,"€102M"
186942,51500000,185000,"English Premier League","Manchester City","I. Gündoğan",30,"https://cdn.sofifa.com/players/186/942/22_60.png","Germany","https://cdn.sofifa.com/flags/de.png",85,85,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€51.5M","€185K",2198,"Right",3,4,4,"High/ Medium","Normal (170-185)","Yes","Jul 1, 2016","nan","2023","180cm","80kg",78,80,50,88,"86",80,85,89,66,"65",86,79,"74",73,81,70,80,75,11,14,5,5,13,"CM",85,"€95.3M"
201942,5.4e+07,185000,"English Premier League","Liverpool","Roberto Firmino",29,"https://cdn.sofifa.com/players/201/942/22_60.png","Brazil","https://cdn.sofifa.com/flags/br.png",85,85,"Liverpool","https://cdn.sofifa.com/teams/9/30.png","€54M","€185K",2180,"Right",3,4,5,"High/ High","Unique","Yes","Jul 6, 2015","nan","2023","181cm","76kg",73,78,78,84,"89",65,76,90,77,"77",86,79,"87",74,76,75,72,64,8,11,9,6,10,"CF",85,"€99.9M"
210514,71500000,185000,"English Premier League","Manchester City","João Cancelo",27,"https://cdn.sofifa.com/players/210/514/22_60.png","Portugal","https://cdn.sofifa.com/flags/pt.png",86,87,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€71.5M","€185K",2227,"Right",3,4,4,"High/ Medium","Unique","Yes","Aug 7, 2019","nan","2025","182cm","74kg",86,68,72,85,"85",69,78,85,86,"84",85,80,"90",62,75,73,46,82,6,9,15,14,14,"RB",86,"€137.6M"
212218,7.7e+07,185000,"English Premier League","Manchester City","A. Laporte",27,"https://cdn.sofifa.com/players/212/218/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",86,89,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€77M","€185K",1976,"Left",3,3,2,"Medium/ Medium","Unique","Yes","Jan 30, 2018","nan","2024","191cm","85kg",58,45,84,82,"63",69,80,78,59,"67",87,68,"72",84,47,81,44,87,10,11,5,14,5,"CB",88,"€148.2M"
189509,6.5e+07,180000,"English Premier League","Liverpool","Thiago",30,"https://cdn.sofifa.com/players/189/509/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",86,86,"Liverpool","https://cdn.sofifa.com/teams/9/30.png","€65M","€180K",2199,"Right",3,3,5,"Medium/ Medium","Normal (170-185)","Yes","Sep 18, 2020","nan","2024","174cm","70kg",78,68,54,90,"90",77,89,92,72,"55",84,75,"74",59,73,72,75,71,6,11,7,9,13,"CM",86,"€120.3M"
201535,68500000,180000,"English Premier League","Manchester United","R. Varane",28,"https://cdn.sofifa.com/players/201/535/22_60.png","France","https://cdn.sofifa.com/flags/fr.png",86,88,"Manchester United","https://cdn.sofifa.com/teams/11/30.png","€68.5M","€180K",1931,"Right",3,3,2,"Medium/ High","Unique","Yes","Jul 27, 2021","nan","2025","191cm","81kg",42,46,86,78,"55",52,76,78,79,"85",84,52,"76",86,53,80,43,88,11,11,9,5,14,"CB",87,"€131.9M"
206517,50500000,180000,"English Premier League","Manchester City","J. Grealish",25,"https://cdn.sofifa.com/players/206/517/22_60.png","England","https://cdn.sofifa.com/flags/gb-eng.png",84,85,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€50.5M","€180K",2022,"Right",3,3,4,"High/ Medium","Unique","Yes","Aug 5, 2021","nan","2027+","180cm","81kg",81,77,36,85,"89",74,82,88,81,"79",79,76,"80",61,80,60,58,49,11,6,11,10,13,"CAM",85,"€97.2M"
208830,3.3e+07,180000,"English Premier League","Leicester City","J. Vardy",34,"https://cdn.sofifa.com/players/208/830/22_60.png","England","https://cdn.sofifa.com/flags/gb-eng.png",86,86,"Leicester City","https://cdn.sofifa.com/teams/95/30.png","€33M","€180K",2135,"Right",3,4,3,"High/ Medium","Unique","Yes","May 1, 2012","nan","2023","179cm","74kg",69,90,79,74,"78",60,60,82,85,"85",91,87,"76",66,67,87,85,52,15,14,7,15,11,"ST",86,"€62.7M"
152729,13500000,175000,"Spain Primera Division","FC Barcelona","Piqué",34,"https://cdn.sofifa.com/players/152/729/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",84,84,"FC Barcelona","https://cdn.sofifa.com/teams/241/30.png","€13.5M","€175K",1977,"Right",4,3,2,"High/ Medium","Unique","Yes","Jul 1, 2008","nan","2024","194cm","85kg",57,65,84,80,"63",43,80,80,50,"64",85,62,"63",86,51,79,69,85,10,11,14,15,8,"CB",84,"€27.7M"
197781,3e+07,175000,"Spain Primera Division","Real Madrid CF","Isco",29,"https://cdn.sofifa.com/players/197/781/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",82,82,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€30M","€175K",2060,"Right",3,3,4,"Medium/ Low","Normal (170-185)","Yes","Jul 3, 2013","nan","Free Agent","176cm","79kg",78,76,55,81,"91",76,80,90,70,"62",75,69,"59",59,78,58,74,64,10,8,12,15,6,"CAM",82,"€61.5M"
216267,83500000,175000,"English Premier League","Liverpool","A. Robertson",27,"https://cdn.sofifa.com/players/216/267/22_60.png","Scotland","https://cdn.sofifa.com/flags/gb-sct.png",87,88,"Liverpool","https://cdn.sofifa.com/teams/9/30.png","€83.5M","€175K",2163,"Left",3,2,3,"High/ High","Unique","Yes","Jul 21, 2017","nan","2026","178cm","64kg",88,55,67,82,"81",71,76,83,83,"85",85,76,"95",65,65,85,55,84,11,8,10,7,14,"LB",87,"€160.7M"
231866,8.1e+07,175000,"English Premier League","Manchester City","Rodri",25,"https://cdn.sofifa.com/players/231/866/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",86,89,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€81M","€175K",2098,"Right",3,4,3,"Medium/ High","Normal (185+)","Yes","Jul 4, 2019","nan","2024","191cm","82kg",63,64,78,85,"78",54,83,82,60,"62",80,83,"87",82,76,76,46,84,10,10,7,14,8,"CDM",86,"€155.9M"
173731,2.5e+07,170000,"Spain Primera Division","Real Madrid CF","G. Bale",31,"https://cdn.sofifa.com/players/173/731/22_60.png","Wales","https://cdn.sofifa.com/flags/gb-wls.png",82,82,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€25M","€170K",2177,"Left",4,3,4,"Medium/ Medium","Unique","Yes","Sep 1, 2013","nan","Free Agent","185cm","82kg",86,82,84,80,"80",87,79,83,80,"83",78,90,"61",76,87,64,76,53,15,15,11,5,6,"RM",82,"€51.3M"
188377,3.9e+07,170000,"English Premier League","Manchester City","K. Walker",31,"https://cdn.sofifa.com/players/188/377/22_60.png","England","https://cdn.sofifa.com/flags/gb-eng.png",85,85,"Manchester City","https://cdn.sofifa.com/teams/10/30.png","€39M","€170K",2194,"Right",3,2,3,"High/ High","Unique","Yes","Jul 14, 2017","nan","2024","183cm","83kg",77,51,74,79,"79",71,77,81,89,"94",85,86,"86",80,69,84,63,84,12,6,16,15,8,"RB",85,"€72.2M"
205498,52500000,170000,"English Premier League","Chelsea","Jorginho",29,"https://cdn.sofifa.com/players/205/498/22_60.png","Italy","https://cdn.sofifa.com/flags/it.png",85,85,"Chelsea","https://cdn.sofifa.com/teams/5/30.png","€52.5M","€170K",2133,"Right",2,3,3,"Medium/ Medium","Lean (170-185)","Yes","Jul 16, 2018","nan","2023","180cm","68kg",75,64,56,92,"79",76,89,87,61,"50",82,71,"87",66,62,79,91,81,14,7,13,14,8,"CM",85,"€97.1M"
208618,2.5e+07,170000,"Spain Primera Division","Real Madrid CF","Lucas Vázquez",30,"https://cdn.sofifa.com/players/208/618/22_60.png","Spain","https://cdn.sofifa.com/flags/es.png",81,81,"Real Madrid CF","https://cdn.sofifa.com/teams/243/30.png","€25M","€170K",2136,"Right",2,4,4,"High/ Medium","Normal (170-185)","Yes","Jul 2, 2015","nan","2024","173cm","70kg",83,72,58,79,"81",71,76,79,83,"82",81,80,"91",57,76,72,56,69,9,16,9,9,7,"RW",81,"€51.3M"
